id,dataset_id,synonym,normalized_synonym,weight,created_at
1479,63,商用月度,商用月度,1,2026-06-26 07:37:03.976592+00:00
1480,63,商用事业群月度,商用事业群月度,1,2026-06-26 07:37:03.976592+00:00
1481,63,商用细分行业线,商用细分行业线,1,2026-06-26 07:37:03.976592+00:00
1482,63,商用月度细分行业线,商用月度细分行业线,1,2026-06-26 07:37:03.976592+00:00
1483,63,feishu_tblshangyongv2_monthly,feishu_tblshangyongv2_monthly,1,2026-06-26 07:37:03.976592+00:00
1484,63,商用事业群月度细分行业线,商用事业群月度细分行业线,1,2026-06-26 07:37:03.976592+00:00
1485,13,消费者事业群,消费者事业群,1,2026-06-26 07:37:11.907836+00:00
1486,13,任务达成,任务达成,1,2026-06-26 07:37:11.907836+00:00
1487,13,年度开单,年度开单,1,2026-06-26 07:37:11.907836+00:00
1488,13,线下,线下,1,2026-06-26 07:37:11.907836+00:00
1489,13,新零售,新零售,1,2026-06-26 07:37:11.907836+00:00
1490,13,燃气定制,燃气定制,1,2026-06-26 07:37:11.907836+00:00
1491,13,地产,地产,1,2026-06-26 07:37:11.907836+00:00
1492,13,战区,战区,1,2026-06-26 07:37:11.907836+00:00
1493,13,城市站,城市战区,1,2026-06-26 07:37:11.907836+00:00
4213,3,商用事业群,商用事业群,10,2026-06-27 12:03:29.129775+00:00
4214,3,syyb,syyb,8,2026-06-27 12:03:29.129775+00:00
4215,3,星澜商用,星澜商用,8,2026-06-27 12:03:29.129775+00:00
4216,3,业绩,业绩,4,2026-06-27 12:03:29.129775+00:00
4217,3,阶段一升级版,阶段一升级版,10,2026-06-27 12:03:29.129775+00:00
4218,3,新版商用事业群,新版商用事业群,9,2026-06-27 12:03:29.129775+00:00
4219,3,升级版商用事业群,升级版商用事业群,9,2026-06-27 12:03:29.129775+00:00
6244,62,电商事业群,电商事业群,10,2026-07-02 02:54:33.797427+00:00
6245,62,飞书电商,飞书电商,9,2026-07-02 02:54:33.797427+00:00
6246,62,电商预算,电商预算,9,2026-07-02 02:54:33.797427+00:00
6247,62,feishu_tbldianshang,feishu_tbldianshang,8,2026-07-02 02:54:33.797427+00:00
6248,62,电商,电商,6,2026-07-02 02:54:33.797427+00:00
6249,62,电商经营预算,电商经营预算,8,2026-07-02 02:54:33.797427+00:00
